A,B,C,D
1,9,25.25,-35.95
2,11,35.27,-33.7
3,11,45.37,-33.75
4,27,55.06,-18.02
5,10,65.19,-34.74
6,24,75.03,-20.86
7,24,85.21,-20.68
8,8,95.12,-36.83
9,25,105.07,-19.86
10,8,114.99,-37.02
11,13,125.09,-31.83
12,20,135.2,-24.94
13,5,145.23,-39.63
14,24,155.02,-20.94
15,16,165.05,-28.81
16,5,175.29,-39.75
17,13,185.13,-32
18,7,195.21,-37.85
19,18,204.98,-26.84
20,34,214.99,-10.83
21,27,225.12,-17.8
22,6,235.24,-38.98
23,7,245.29,-37.81
24,6,255.13,-38.76
25,6,265.3,-38.69
26,28,275.27,-16.78
27,7,286,-38
28,31,294.99,-14.01
29,6,305.08,-38.82
30,6,315.26,-38.96
31,7,325.06,-37.77
32,13,335.28,-31.7
33,0,345.25,-44.71
34,31,355.06,-13.65
35,39,365.24,-5.66
36,31,375.09,-13.86
37,12,385.33,-32.79
38,14,395.16,-30.78
39,7,405.22,-37.67
40,19,415.29,-25.87
41,26,425.28,-18.79
42,11,435.34,-33.96
43,35,445.34,-9.69
44,26,455.17,-18.69
45,16,465.16,-28.9
46,12,474.99,-32.79
47,28,485.11,-16.91
48,3,495.17,-41.73
49,19,505.25,-25.88
50,6,515.36,-38.65
51,22,525.14,-22.83
52,37,535.18,-7.87
53,3,545.13,-41.99
54,28,555.32,-16.79
55,14,565.08,-30.69
56,26,575.12,-18.67
57,9,585,-36.02
58,12,595.35,-32.82
59,2,605.14,-42.63
60,8,615.21,-36.65
61,37,625.35,-7.88
62,16,635.32,-28.68
63,32,645.28,-13.01
64,35,655.08,-9.67
65,10,665.22,-34.65
66,4,675,-40.91
67,31,685.02,-13.97
68,31,695.14,-14
69,3,705.16,-41.83
70,2,715.16,-42.68
71,32,725.13,-12.71
72,38,735.3,-6.85
73,24,745.14,-20.63
74,25,755.01,-19.92
75,13,765.12,-31.76
76,10,775.08,-34.73
77,14,784.99,-30.77
78,19,795.22,-26.01
79,22,805.26,-22.82
80,1,815.28,-43.72
81,27,825.12,-17.96
82,10,835.1,-34.64
83,19,845.34,-25.96
84,19,855.12,-25.93
85,21,865.25,-23.79
86,39,875.27,-5.69
87,20,885.01,-24.76
88,5,895.21,-39.91
89,7,905.03,-37.63
90,19,915.36,-25.81
91,9,925.15,-35.66
92,15,935.25,-29.94
93,5,945.04,-39.97
94,11,955.15,-33.83
95,13,965.28,-31.64
96,36,975.2,-8.75
97,22,985,-22.79
98,0,994.98,-44.96
99,11,1005.05,-33.99
100,2,1015.16,-42.69
